building_id,street_address,postal_code,energy_star_score,property_name
883041500,1524 WALNUT ST,19102,78.0,1528 Walnut
883071700,3020 MARKET ST,19104,21.0,178-3020 MARKET
772687010,1709 BENJAMIN FRANKLIN PKWY,19103,83.0,United Way
882506315,801 MARKET ST,19107,83.0,801 Market Street
772614000,1631 ARCH ST,19103,1.0,GLC 11310/1631 ARCH ST/PHILADELPHIA/PA
883056500,1628 JOHN F KENNEDY BLVD,19103,81.0,8 Penn
883055500,1500 JOHN F KENNEDY BLVD,19103,82.0,2 Penn
883053530,1701 MARKET ST,19103,45.0,1701 Market Street
781379300,700 RACE ST,19106,5.0,Police Administration Building
883338000,1601 MARKET ST,19103,82.0,APF - 1601 Market Street
883318500,1 S BROAD ST,19107,58.0,One South Broad
883023400,112 N BROAD ST,19102,68.0,centralized comprehensive human services
Multiple,1216 ARCH ST,19107,85.0,Young Smyth Field Condominium Association
883035500,1420 CHESTNUT ST,19103,94.0,1420-22 Chestnut Street
883310000,1015 CHESTNUT ST,19107,76.0,1015 Chestnut Street
883400500,800 WALNUT ST 3,19106,11.0,Walnut Towers
776008020; 776008030,625 E WISTARIA ST,19144,1.0,GT Penn & LTSR
771752000,18 S 7TH ST,19107,90.0,Balch Building
777557000,3334 N PARK AVE,19140,58.0,JONES HALL
777533001,3519 N BROAD ST,19140,94.0,BOYER PAVILION
774520500,3205 LANCASTER AVE,19104,57.0,Philadelphia-Lancaster Ave RC
883102000,301 S 8TH ST,19107,26.0,301 Duncan
773151500,4201 SPRUCE ST,19104,11.0,Penn Alexander
785373150,201 E OLNEY AVE,19120,76.0,Washington Grover
883744600,8660 BARTRAM AVE,19153,85.0,Hampton Inn PHLAT
782843800,1500 S 32ND ST,19146,42.0,Alcorn
786324800,2922 MEMPHIS ST,19134,80.0,Jones
781401800,600 E THOMPSON ST,19125,30.0,Penn Treaty
786010400,243 E ALLEGHENY AVE,19134,11.0,Stetson
781646000,528 N 13TH ST,19123,12.0,Stoddart-Fleisher
786072800,1829 E CLEARFIELD ST,19134,73.0,Conwell
781641600,1720 N 12TH ST,19122,55.0,Dunbar
781551800,2000 N 7TH ST,19122,48.0,Ferguson
777012000,100 E LEHIGH AVE,19124,55.0,Temple Episcopal Hospital
885747300,500 E ALLEGHENY AVE,19134,23.0,Elkin
783258200,5700 LANCASTER AVE,19131,98.0,Overbrook HS
784374200,3133 RIDGE AVE,19132,42.0,Strawberry Mansion & Hill
783262200,6523 LANSDOWNE AVE,19151,22.0,Cassidy
785657200,3400 N 15TH ST,19140,57.0,Kenderton
781208400,601 MARKET ST,19106,90.0,PA0000BG - BYRNE GREEN COMPLEX
781049800,200 CHESTNUT ST,19106,89.0,PA0144ZZ - PHILADELPHIA CUSTOMHOUSE
784484000,5000 WISSAHICKON AVE,19144,41.0,PA0000AT - WISSAHICKON FED BLDG
782808000,2101 S 24TH ST,19139,84.0,Vare EH
782720400,2100 S 18TH ST,19145,50.0,Girard
781490600,2501 S 5TH ST,19148,70.0,Taggart
786010200,8901 ALICIA ST,19115,87.0,Greenberg
783631400,700 N 35TH ST,19104,24.0,McMichael
784108400,2400 DIAMOND ST,19121,23.0,Dick
783766600,2400 N 57TH ST,19131,27.0,Gompers
784190100,7100 HENRY AVE,19128,67.0,Saul CTE
785356200,1800 W NEDRO AVE,19141,22.0,Pennell
785202400,6101 N FRONT ST,19120,16.0,Finletter
786458400,5741 RISING SUN AVE,19120,38.0,Franklin ES
786487800,1501 SELLERS ST,19124,54.0,Marshall J
786081400,6801 COTTAGE ST,19135,56.0,Disston
786039800,4300 BLEIGH AVE,19136,49.0,Forrest
786455000,700 RHAWN ST,19111,19.0,Fox Chase
786066400,8300 CASTOR AVE,19152,37.0,Farrell
786001800,3500 ACADEMY RD,19154,9.0,Decatur
783732400,400 S 52ND ST,19143,64.0,Huey
783394400,4901 PARRISH ST,19139,20.0,Rhoads J
783206951,4420 HAVERFORD AVE,19104,15.0,Locke
785727200,2200 N 22ND ST,19132,79.0,Pratt
784168800,2801 W GLENWOOD AVE,19121,64.0,Gideon
784472600,1850 E WASHINGTON LN,19146,93.0,Pennypacker
771032100,801 W GIRARD AVE,19122,100.0,Girard Medical Center
781043800,1100 CATHARINE ST,19147,80.0,Palumbo
781082800,626 DICKINSON ST,19147,19.0,Kirkbride
781042400,601 CARPENTER ST,19147,24.0,Nebinger
781609000,1821 S 9TH ST,19148,91.0,Southwark
786146001,3400 FRANKFORD AVE,19134,33.0,Webster
784378000,5950 RIDGE AVE,19128,76.0,Levering
785689600,5000 N 17TH ST,19141,19.0,Logan
785508805,4301 WAYNE AVE,19140,38.0,Steel
