w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,w_pctbpSaved,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,l_pctbpSaved
3.0,0.0,23.0,21.0,11.0,,2.0,4.0,29.0,18.0,7.0,42.857142857142854
5.0,1.0,31.0,22.0,12.0,50.0,1.0,1.0,33.0,17.0,10.0,37.5
2.0,5.0,29.0,20.0,8.0,71.42857142857143,3.0,9.0,35.0,17.0,5.0,41.66666666666667
3.0,6.0,72.0,50.0,17.0,62.5,3.0,4.0,63.0,41.0,24.0,58.333333333333336
5.0,3.0,35.0,28.0,17.0,100.0,4.0,2.0,42.0,31.0,13.0,66.66666666666666
0.0,2.0,22.0,17.0,10.0,75.0,1.0,3.0,27.0,12.0,8.0,33.33333333333333
7.0,3.0,36.0,24.0,16.0,50.0,0.0,1.0,29.0,17.0,6.0,0.0
15.0,4.0,40.0,34.0,14.0,100.0,1.0,3.0,30.0,24.0,9.0,50.0
13.0,1.0,37.0,30.0,10.0,0.0,3.0,2.0,29.0,11.0,21.0,42.857142857142854
4.0,0.0,45.0,29.0,16.0,75.0,0.0,2.0,41.0,26.0,9.0,50.0
11.0,3.0,33.0,23.0,17.0,66.66666666666666,0.0,2.0,61.0,39.0,9.0,72.72727272727273
7.0,3.0,27.0,19.0,8.0,66.66666666666666,0.0,3.0,24.0,11.0,4.0,28.57142857142857
4.0,3.0,30.0,25.0,15.0,,0.0,4.0,35.0,24.0,9.0,66.66666666666666
3.0,1.0,71.0,46.0,23.0,75.0,4.0,6.0,73.0,44.0,16.0,61.53846153846154
4.0,1.0,80.0,47.0,12.0,64.70588235294117,4.0,4.0,50.0,31.0,17.0,50.0
2.0,1.0,29.0,22.0,10.0,100.0,1.0,3.0,18.0,7.0,6.0,28.57142857142857
0.0,0.0,48.0,29.0,13.0,75.0,1.0,0.0,36.0,18.0,4.0,28.57142857142857
7.0,3.0,27.0,23.0,13.0,100.0,0.0,2.0,18.0,7.0,11.0,50.0
4.0,3.0,41.0,24.0,11.0,50.0,2.0,12.0,48.0,23.0,17.0,53.84615384615385
8.0,2.0,31.0,26.0,9.0,50.0,0.0,4.0,51.0,35.0,8.0,60.0
1.0,1.0,39.0,26.0,9.0,83.33333333333334,2.0,7.0,33.0,17.0,6.0,16.666666666666664
2.0,2.0,34.0,27.0,10.0,,8.0,4.0,34.0,22.0,11.0,57.14285714285714
0.0,2.0,50.0,33.0,4.0,50.0,2.0,3.0,44.0,28.0,5.0,64.28571428571429
4.0,4.0,33.0,23.0,8.0,66.66666666666666,4.0,0.0,35.0,21.0,9.0,66.66666666666666
4.0,3.0,28.0,22.0,9.0,60.0,0.0,5.0,25.0,12.0,2.0,33.33333333333333
0.0,1.0,40.0,26.0,16.0,85.71428571428571,1.0,3.0,29.0,15.0,12.0,0.0
8.0,3.0,72.0,56.0,28.0,71.42857142857143,31.0,5.0,65.0,52.0,25.0,33.33333333333333
4.0,4.0,38.0,29.0,13.0,50.0,3.0,4.0,38.0,24.0,10.0,25.0
3.0,1.0,29.0,24.0,12.0,0.0,1.0,4.0,23.0,12.0,12.0,42.857142857142854
