surface,winner_hand,winner_ht,winner_age,winner_rank,loser_name,loser_hand,loser_ht,loser_age,loser_rank,score,num_sets
Hard,U,169.0,25.76591376,113.0,Jarmila Gajdosova,R,174.0,28.73100616,122.0,6-0 4-2,2
Hard,R,183.0,28.19986311,23.0,Tammi Patterson,R,,26.03969884,459.0,6-2 6-3,2
Hard,L,180.0,29.66187543,51.0,Lesia Tsurenko,R,174.0,26.63655031,35.0,6-7 6-2 6-3,3
Hard,R,166.0,23.83025325,86.0,Maryna Zanevska,R,,22.40109514,146.0,6-7 6-3 6-3,3
Hard,R,173.0,25.98767967,33.0,Bojana Jovanovski,R,175.0,24.04928131,84.0,6-1 6-0,2
Hard,R,177.0,26.98973306,133.0,Simona Halep,R,168.0,24.30937714,2.0,6-4 6-3,2
Hard,R,175.0,34.31074606,1.0,Su Wei Hsieh,R,169.0,30.03696099,90.0,6-1 6-2,2
Hard,R,170.0,18.69952088,69.0,Ana Konjuh,R,174.0,18.05886379,87.0,6-4 6-3,2
Hard,R,183.0,21.3798768,58.0,Kurumi Nara,R,155.0,24.05201917,94.0,6-4 6-4,2
Hard,R,163.0,21.0294319,76.0,Xinyun Han,L,172.0,25.63723477,162.0,6-3 6-1,2
Hard,R,175.0,18.85831622,13.0,Timea Babos,R,179.0,22.69130732,60.0,6-3 6-3,2
Hard,R,175.0,29.44558522,92.0,Svetlana Kuznetsova,R,174.0,30.55989049,20.0,6-1 7-5,2
Hard,R,157.0,22.275154,103.0,Magdalena Rybarikova,R,180.0,27.2881588,75.0,6-1 RET,1
Hard,R,188.0,28.75017112,5.0,Aliaksandra Sasnovich,R,174.0,21.82614648,105.0,6-2 6-1,2
Hard,R,170.0,26.86926762,4.0,Eugenie Bouchard,R,178.0,21.89459274,37.0,6-4 6-2,2
Hard,R,170.0,22.30800821,52.0,Kristyna Pliskova,L,184.0,23.8275154,114.0,4-6 7-6 9-7,3
Hard,R,174.0,21.96030116,82.0,Qiang Wang,R,172.0,24.0109514,102.0,6-3 6-4,2
Hard,R,163.0,32.91444216,15.0,Irina Falconi,R,163.0,25.70841889,74.0,6-2 6-3,2
Hard,R,162.0,27.37303217,11.0,Maria Sakkari,R,172.0,20.48459959,170.0,6-7 6-2 6-2,3
Hard,R,176.0,19.76728268,109.0,Monica Niculescu,R,168.0,28.31485284,40.0,6-4 2-6 6-4,3
Hard,R,184.0,22.68035592,30.0,Nicole Gibbs,R,168.0,22.87748118,106.0,6-1 7-6,2
Hard,R,166.0,21.87268994,39.0,Petra Kvitova,L,183.0,25.86447639,7.0,6-4 6-4,2
Hard,L,173.0,28.0,6.0,Alexandra Dulgheru,R,172.0,26.63655031,61.0,6-2 6-4,2
Hard,R,168.0,25.79329227,49.0,Johanna Larsson,R,174.0,27.41957563,50.0,7-5 4-6 6-1,3
Hard,R,168.0,27.87405886,97.0,Jelena Jankovic,R,177.0,30.88569473,22.0,3-6 7-6 6-4,3
Hard,R,170.0,21.9192334,55.0,Timea Bacsinszky,R,170.0,26.61190965,14.0,6-2 6-3,2
Hard,R,180.0,26.46680356,16.0,Danka Kovinic,R,169.0,21.16632444,54.0,6-1 6-2,2
Hard,R,180.0,18.25598905,127.0,Elina Svitolina,R,174.0,21.34976044,21.0,6-4 6-4,2
