tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-0602,New Haven,Hard,32,I,20160822,281,201520,6,,Petra Kvitova,L,183.0,CZE,26.45859001,15.0,2865.0,211635,,Q,Louisa Chirico,R,175.0,USA,20.26830938,79.0,852.0,1-6 6-1 6-3,3,R32,94.0,4.0,3.0,62.0,39.0,25.0,12.0,11.0,1.0,5.0,1.0,4.0,79.0,39.0,22.0,19.0,12.0,4.0,10.0,3,40.0,20.0
2016-560,Us Open,Hard,128,G,20160829,156,201520,14,,Petra Kvitova,L,183.0,CZE,26.47775496,16.0,2580.0,211533,,,Jelena Ostapenko,R,177.0,LAT,19.22518823,36.0,1495.0,7-5 6-3,3,R128,98.0,6.0,5.0,83.0,41.0,27.0,21.0,11.0,6.0,9.0,4.0,11.0,66.0,30.0,21.0,10.0,10.0,5.0,10.0,2,50.0,66.66666666666666
2016-560,Us Open,Hard,128,G,20160829,192,201520,14,,Petra Kvitova,L,183.0,CZE,26.47775496,16.0,2580.0,201666,,,Cagla Buyukakcay,R,172.0,TUR,26.91854894,66.0,922.0,7-6(2) 6-3,3,R64,93.0,2.0,8.0,58.0,37.0,27.0,10.0,11.0,1.0,4.0,0.0,2.0,66.0,42.0,23.0,12.0,10.0,3.0,8.0,2,37.5,25.0
2016-560,Us Open,Hard,128,G,20160829,210,201520,14,,Petra Kvitova,L,183.0,CZE,26.47775496,16.0,2580.0,202494,22,,Elina Svitolina,R,174.0,UKR,21.96303901,19.0,2101.0,6-3 6-4,3,R32,71.0,3.0,3.0,44.0,26.0,18.0,8.0,10.0,1.0,4.0,0.0,4.0,61.0,40.0,23.0,6.0,9.0,2.0,8.0,2,25.0,25.0
2016-560,Us Open,Hard,128,G,20160829,219,201493,2,,Angelique Kerber,L,173.0,GER,28.61327858,2.0,6860.0,201520,14,,Petra Kvitova,L,183.0,CZE,26.47775496,16.0,2580.0,6-3 7-5,3,R16,87.0,0.0,2.0,62.0,40.0,29.0,11.0,11.0,2.0,3.0,0.0,7.0,69.0,38.0,29.0,9.0,10.0,4.0,8.0,2,50.0,66.66666666666666
2016-1056,Tokyo,Hard,32,I,20160919,287,201620,,,Monica Puig,R,170.0,PUR,22.97878166,33.0,1500.0,201520,7,,Petra Kvitova,L,183.0,CZE,26.53524983,16.0,2390.0,1-6 6-4 6-4,3,R16,138.0,4.0,5.0,94.0,58.0,40.0,17.0,13.0,10.0,13.0,6.0,7.0,84.0,53.0,40.0,15.0,14.0,4.0,7.0,3,57.14285714285714,76.92307692307693
2016-1056,Tokyo,Hard,32,I,20160919,273,201520,7,,Petra Kvitova,L,183.0,CZE,26.53524983,16.0,2390.0,201483,,,Madison Brengle,R,168.0,USA,26.46406571,70.0,930.0,6-3 6-3,3,R32,71.0,4.0,4.0,63.0,38.0,29.0,15.0,9.0,6.0,6.0,0.0,2.0,47.0,29.0,17.0,10.0,9.0,0.0,3.0,2,0.0,100.0
2016-1075,Wuhan,Hard,64,I,20160926,300,201520,14,,Petra Kvitova,L,183.0,CZE,26.55441478,16.0,2390.0,201495,10,,Dominika Cibulkova,R,161.0,SVK,27.39219713,12.0,2975.0,6-1 6-1,3,F,62.0,9.0,3.0,48.0,25.0,24.0,7.0,7.0,3.0,4.0,0.0,3.0,37.0,24.0,8.0,3.0,7.0,1.0,7.0,2,14.285714285714285,75.0
2016-1075,Wuhan,Hard,64,I,20160926,299,201520,14,,Petra Kvitova,L,183.0,CZE,26.55441478,16.0,2390.0,201594,4,,Simona Halep,R,168.0,ROU,24.99931554,5.0,4742.0,6-1 6-2,3,SF,67.0,4.0,1.0,48.0,29.0,23.0,12.0,8.0,3.0,3.0,1.0,1.0,58.0,31.0,19.0,9.0,7.0,9.0,13.0,2,69.23076923076923,100.0
2016-1075,Wuhan,Hard,64,I,20160926,297,201520,14,,Petra Kvitova,L,183.0,CZE,26.55441478,16.0,2390.0,202427,11,,Johanna Konta,R,180.0,GBR,25.36344969,13.0,2865.0,6-3 6-4,3,QF,90.0,7.0,3.0,74.0,45.0,35.0,15.0,10.0,4.0,4.0,4.0,2.0,53.0,37.0,26.0,7.0,9.0,2.0,4.0,2,50.0,100.0
2016-1075,Wuhan,Hard,64,I,20160926,293,201520,14,,Petra Kvitova,L,183.0,CZE,26.55441478,16.0,2390.0,201493,1,,Angelique Kerber,L,173.0,GER,28.6899384,1.0,8730.0,6-7(10) 7-5 6-4,3,R16,199.0,5.0,11.0,165.0,103.0,66.0,26.0,17.0,17.0,22.0,0.0,8.0,129.0,83.0,51.0,18.0,17.0,10.0,17.0,3,58.82352941176471,77.27272727272727
2016-1075,Wuhan,Hard,64,I,20160926,284,201520,14,,Petra Kvitova,L,183.0,CZE,26.55441478,16.0,2390.0,202494,,,Elina Svitolina,R,174.0,UKR,22.03969884,18.0,2231.0,6-3 6-1,3,R32,60.0,4.0,3.0,40.0,25.0,20.0,10.0,8.0,1.0,2.0,3.0,1.0,55.0,36.0,18.0,8.0,8.0,6.0,11.0,2,54.54545454545454,50.0
